val_RMSE,val_Total_Loss,step,epoch,val_MAE,train_MAE,train_RMSE,train_Total_Loss,test_Total_Loss,test_MAE,test_RMSE
0.45813846588134766,0.2133093774318695,432,0,0.33210301399230957,,,,,,
,,432,0,,0.4636346995830536,0.6149472594261169,0.4691178798675537,,,
0.35410892963409424,0.12975744903087616,865,1,0.23388968408107758,,,,,,
,,865,1,,0.2598213851451874,0.38339099287986755,0.1502910703420639,,,
0.2948210835456848,0.09183584153652191,1298,2,0.19474104046821594,,,,,,
,,1298,2,,0.2092733532190323,0.3092394471168518,0.0983821451663971,,,
0.26932743191719055,0.07769041508436203,1731,3,0.18423251807689667,,,,,,
,,1731,3,,0.18190735578536987,0.27063480019569397,0.07577212154865265,,,
0.24931961297988892,0.06774207204580307,2164,4,0.15769562125205994,,,,,,
,,2164,4,,0.1674271523952484,0.2509675621986389,0.06529087573289871,,,
0.23787358403205872,0.062417954206466675,2597,5,0.14912596344947815,,,,,,
,,2597,5,,0.15773643553256989,0.23817338049411774,0.05922811105847359,,,
0.22859278321266174,0.05784038081765175,3030,6,0.1501922458410263,,,,,,
,,3030,6,,0.15025977790355682,0.22918249666690826,0.0548965260386467,,,
0.21815447509288788,0.052992839366197586,3463,7,0.14564742147922516,,,,,,
,,3463,7,,0.14118275046348572,0.21678462624549866,0.0495135560631752,,,
0.20584093034267426,0.048462651669979095,3896,8,0.1275651454925537,,,,,,
,,3896,8,,0.13380920886993408,0.20598062872886658,0.04469965025782585,,,
0.19790174067020416,0.045668311417102814,4329,9,0.11919743567705154,,,,,,
,,4329,9,,0.12783318758010864,0.19616906344890594,0.04056635499000549,,,
0.19737765192985535,0.044430796056985855,4762,10,0.1269759088754654,,,,,,
,,4762,10,,0.12156202644109726,0.18608714640140533,0.03655053675174713,,,
0.1842646300792694,0.04035082086920738,5195,11,0.11061778664588928,,,,,,
,,5195,11,,0.11908258497714996,0.1808680295944214,0.034599315375089645,,,
0.1945008486509323,0.04325246810913086,5628,12,0.1269032508134842,,,,,,
,,5628,12,,0.11373328417539597,0.17345628142356873,0.03179987147450447,,,
0.17753320932388306,0.03748934715986252,6061,13,0.11130339652299881,,,,,,
,,6061,13,,0.1109737977385521,0.16776315867900848,0.02969301864504814,,,
0.17458142340183258,0.03655625507235527,6494,14,0.10879070311784744,,,,,,
,,6494,14,,0.1081627830862999,0.16321124136447906,0.02813391387462616,,,
0.17715008556842804,0.037541456520557404,6927,15,0.1079258993268013,,,,,,
,,6927,15,,0.10470295697450638,0.15771842002868652,0.02644060179591179,,,
0.17261017858982086,0.035719722509384155,7360,16,0.10974004864692688,,,,,,
,,7360,16,,0.10212723165750504,0.1534705013036728,0.025119811296463013,,,
0.1677287220954895,0.0337471179664135,7793,17,0.10678691416978836,,,,,,
,,7793,17,,0.09851497411727905,0.1484363079071045,0.0235004760324955,,,
0.16570380330085754,0.032928626984357834,8226,18,0.10312119871377945,,,,,,
,,8226,18,,0.09748547524213791,0.14615540206432343,0.022744067013263702,,,
0.15446357429027557,0.029013218358159065,8659,19,0.09436307847499847,,,,,,
,,8659,19,,0.09468698501586914,0.14108869433403015,0.0211337823420763,,,
0.1548631340265274,0.02925826795399189,9092,20,0.09618198871612549,,,,,,
,,9092,20,,0.09351297467947006,0.1393619179725647,0.020615583285689354,,,
0.15156489610671997,0.027781633660197258,9525,21,0.09721136838197708,,,,,,
,,9525,21,,0.08992740511894226,0.13423365354537964,0.019183700904250145,,,
0.14476341009140015,0.025779711082577705,9958,22,0.0861978828907013,,,,,,
,,9958,22,,0.08799572288990021,0.1301785409450531,0.017924664542078972,,,
0.1477956622838974,0.024071000516414642,10391,23,0.09251002222299576,,,,,,
,,10391,23,,0.08687444776296616,0.12847082316875458,0.017478538677096367,,,
0.1453266441822052,0.025035208091139793,10824,24,0.08719874918460846,,,,,,
,,10824,24,,0.08818378299474716,0.1310257911682129,0.018115896731615067,,,
0.13615696132183075,0.022405413910746574,11257,25,0.08111408352851868,,,,,,
,,11257,25,,0.08278318494558334,0.1230025365948677,0.015931710600852966,,,
0.14887847006320953,0.02450842596590519,11690,26,0.09410631656646729,,,,,,
,,11690,26,,0.08332620561122894,0.12456300854682922,0.01655392348766327,,,
0.13331200182437897,0.0212099589407444,12123,27,0.07959509640932083,,,,,,
,,12123,27,,0.08112356811761856,0.12052152305841446,0.015376027673482895,,,
0.1332499086856842,0.01991775445640087,12556,28,0.08805911988019943,,,,,,
,,12556,28,,0.07919705659151077,0.11737389862537384,0.01454729400575161,,,
0.1447141468524933,0.02568197436630726,12989,29,0.08759190142154694,,,,,,
,,12989,29,,0.07796621322631836,0.1157398372888565,0.014101953245699406,,,
0.1490345001220703,0.025052618235349655,13422,30,0.09228891134262085,,,,,,
,,13422,30,,0.07812172174453735,0.11606627702713013,0.014253363944590092,,,
0.13423188030719757,0.019136181101202965,13855,31,0.08618621528148651,,,,,,
,,13855,31,,0.07750128954648972,0.11608795821666718,0.01431027241051197,,,
0.1296907514333725,0.018363896757364273,14288,32,0.0814780741930008,,,,,,
,,14288,32,,0.0751160979270935,0.11177022010087967,0.013295947574079037,,,
0.1260751187801361,0.017765598371624947,14721,33,0.07824447751045227,,,,,,
,,14721,33,,0.0733204260468483,0.10908576846122742,0.01244631502777338,,,
0.12507778406143188,0.01721288450062275,15154,34,0.07756860554218292,,,,,,
,,15154,34,,0.07230914384126663,0.10645247995853424,0.011794649995863438,,,
0.12021031975746155,0.015862975269556046,15587,35,0.07146039605140686,,,,,,
