val_MAE,step,val_Total_Loss,epoch,val_RMSE,train_Total_Loss,train_MAE,train_RMSE,test_Total_Loss,test_MAE,test_RMSE
0.15890361368656158,33773,0.06251245737075806,77,0.24345460534095764,,,,,,
,33773,,77,,0.042272064834833145,0.1342964917421341,0.20106440782546997,,,
0.14014703035354614,34206,0.05381189286708832,78,0.2251502126455307,,,,,,
,34206,,78,,0.04476974159479141,0.13869281113147736,0.20725323259830475,,,
0.15137244760990143,34639,0.054897621273994446,79,0.22809085249900818,,,,,,
,34639,,79,,0.04204230755567551,0.13479956984519958,0.20048631727695465,,,
0.17858868837356567,35072,0.06730430573225021,80,0.2549164295196533,,,,,,
,35072,,80,,0.03999035060405731,0.1323516070842743,0.19550803303718567,,,
0.14970825612545013,35505,0.05555909126996994,81,0.23092873394489288,,,,,,
,35505,,81,,0.04423721879720688,0.13886778056621552,0.20561426877975464,,,
0.15404868125915527,35938,0.06038558483123779,82,0.2399684339761734,,,,,,
,35938,,82,,0.050749652087688446,0.14741814136505127,0.21954911947250366,,,
0.16155532002449036,36371,0.06469977647066116,83,0.24793300032615662,,,,,,
,36371,,83,,0.045261457562446594,0.1380157321691513,0.2073490172624588,,,
0.13658984005451202,36804,0.047581154853105545,84,0.21240116655826569,,,,,,
,36804,,84,,0.04128279909491539,0.13347716629505157,0.19850662350654602,,,
0.13816213607788086,37237,0.057174570858478546,85,0.22962909936904907,,,,,,
,37237,,85,,0.044435225427150726,0.13746339082717896,0.20510001480579376,,,
0.16753512620925903,37670,0.06982305645942688,86,0.2584678530693054,,,,,,
,37670,,86,,0.0671796128153801,0.16700202226638794,0.2485540509223938,,,
0.1361829936504364,38103,0.05412329360842705,87,0.22486695647239685,,,,,,
,38103,,87,,0.04502442106604576,0.13703639805316925,0.20787295699119568,,,
0.13786347210407257,38536,0.05880417674779892,88,0.23439307510852814,,,,,,
,38536,,88,,0.04096383601427078,0.13073833286762238,0.1974632441997528,,,
0.13717082142829895,38969,0.05582242086529732,89,0.228781595826149,,,,,,
,38969,,89,,0.04427763447165489,0.13630278408527374,0.20331144332885742,,,
0.12474559992551804,39402,0.04788462072610855,90,0.21229568123817444,,,,,,
,39402,,90,,0.03411053866147995,0.12314791232347488,0.18190070986747742,,,
0.1251910924911499,39835,0.044967129826545715,91,0.2067013829946518,,,,,,
,39835,,91,,0.031401459127664566,0.11609560996294022,0.17354096472263336,,,
0.14336659014225006,40268,0.05545010417699814,92,0.22966811060905457,,,,,,
,40268,,92,,0.03302900865674019,0.11971636861562729,0.17814508080482483,,,
0.13485188782215118,40701,0.04808053374290466,93,0.21406175196170807,,,,,,
,40701,,93,,0.035445258021354675,0.1253860890865326,0.18490272760391235,,,
0.1328386664390564,41134,0.05196506902575493,94,0.22067774832248688,,,,,,
,41134,,94,,0.03580711781978607,0.12625136971473694,0.18570591509342194,,,
0.14748580753803253,41567,0.05296694114804268,95,0.22562584280967712,,,,,,
,41567,,95,,0.0504276305437088,0.1450183242559433,0.21593382954597473,,,
0.2030968815088272,42000,0.08494146168231964,96,0.28756794333457947,,,,,,
,42000,,96,,0.039718322455883026,0.12886719405651093,0.1944381445646286,,,
0.1243908628821373,42433,0.04488106071949005,97,0.20674599707126617,,,,,,
,42433,,97,,0.04026931896805763,0.12952418625354767,0.19337843358516693,,,
0.13334858417510986,42866,0.048099584877491,98,0.21350042521953583,,,,,,
,42866,,98,,0.035034436732530594,0.12157432734966278,0.18214654922485352,,,
0.1305735558271408,43299,0.05060786008834839,99,0.21796824038028717,,,,,,
,43299,,99,,0.03681738302111626,0.12573574483394623,0.18738946318626404,,,
