val_Total_Loss,epoch,step,val_RMSE,val_MAE,train_Total_Loss,train_RMSE,train_MAE,test_Total_Loss,test_MAE,test_RMSE
0.09577739238739014,0,432,0.30278322100639343,0.20986954867839813,,,,,,
,0,432,,,0.21878774464130402,0.419872522354126,0.3119805157184601,,,
0.07327102869749069,1,865,0.2603193521499634,0.17675837874412537,,,,,,
,1,865,,,0.07572291046380997,0.27118629217147827,0.18808141350746155,,,
0.0691840872168541,2,1298,0.25240087509155273,0.17215390503406525,,,,,,
,2,1298,,,0.061908140778541565,0.24402812123298645,0.1662864238023758,,,
0.06031360849738121,3,1731,0.23387034237384796,0.15155421197414398,,,,,,
,3,1731,,,0.053771987557411194,0.22742170095443726,0.15304121375083923,,,
0.0596294142305851,4,2164,0.2326696515083313,0.1535620242357254,,,,,,
,4,2164,,,0.047005753964185715,0.2119562178850174,0.14266736805438995,,,
0.05109024792909622,5,2597,0.21373653411865234,0.14573316276073456,,,,,,
,5,2597,,,0.04132813960313797,0.1988651007413864,0.13406917452812195,,,
0.04685160890221596,6,3030,0.20337502658367157,0.13216757774353027,,,,,,
,6,3030,,,0.03813881799578667,0.1910266876220703,0.12916037440299988,,,
0.04199063032865524,7,3463,0.1915203034877777,0.1202138215303421,,,,,,
,7,3463,,,0.035369984805583954,0.1838420182466507,0.12524884939193726,,,
0.03975614905357361,8,3896,0.18525803089141846,0.12002245336771011,,,,,,
,8,3896,,,0.033225659281015396,0.17752015590667725,0.11903569102287292,,,
0.04518265277147293,9,4329,0.20404168963432312,0.14129270613193512,,,,,,
,9,4329,,,0.03248310461640358,0.1753818392753601,0.11930178105831146,,,
0.037892602384090424,10,4762,0.18364106118679047,0.12328237295150757,,,,,,
,10,4762,,,0.028874017298221588,0.16529537737369537,0.11105238646268845,,,
0.037121959030628204,11,5195,0.18032480776309967,0.11955466121435165,,,,,,
,11,5195,,,0.026858540251851082,0.15942852199077606,0.10707882046699524,,,
0.038090743124485016,12,5628,0.18323051929473877,0.12759831547737122,,,,,,
,12,5628,,,0.025958510115742683,0.15666355192661285,0.10593993216753006,,,
0.03115941770374775,13,6061,0.16404932737350464,0.09900101274251938,,,,,,
,13,6061,,,0.023812275379896164,0.14967107772827148,0.09945513308048248,,,
0.03724055364727974,14,6494,0.18591216206550598,0.12213795632123947,,,,,,
,14,6494,,,0.022530410438776016,0.14632385969161987,0.0987766906619072,,,
0.04352234676480293,15,6927,0.19793519377708435,0.13149024546146393,,,,,,
,15,6927,,,0.02329079806804657,0.14832782745361328,0.10025414079427719,,,
0.026308121159672737,16,7360,0.15456844866275787,0.09718839824199677,,,,,,
,16,7360,,,0.021806485950946808,0.1442435085773468,0.0971774309873581,,,
0.025579920038580894,17,7793,0.14742793142795563,0.08702045679092407,,,,,,
,17,7793,,,0.021225273609161377,0.1411474645137787,0.09550999850034714,,,
0.024503497406840324,18,8226,0.1511533111333847,0.0959765687584877,,,,,,
,18,8226,,,0.019724782556295395,0.13715051114559174,0.09221541881561279,,,
0.030099712312221527,19,8659,0.16016866266727448,0.10015936940908432,,,,,,
,19,8659,,,0.018693119287490845,0.13385561108589172,0.09110923856496811,,,
0.03409743309020996,20,9092,0.16847798228263855,0.10646018385887146,,,,,,
,20,9092,,,0.01979687809944153,0.13689513504505157,0.09284397959709167,,,
0.02487415075302124,21,9525,0.15084578096866608,0.09246037900447845,,,,,,
,21,9525,,,0.017995519563555717,0.1303848922252655,0.08862266689538956,,,
0.020404702052474022,22,9958,0.138322651386261,0.08444720506668091,,,,,,
,22,9958,,,0.016145342960953712,0.12436442822217941,0.08391454070806503,,,
0.02600654400885105,23,10391,0.1556108295917511,0.09715556353330612,,,,,,
,23,10391,,,0.015796851366758347,0.12267976999282837,0.08358579874038696,,,
0.02068592980504036,24,10824,0.13978038728237152,0.09008082002401352,,,,,,
,24,10824,,,0.019807709380984306,0.13638471066951752,0.09175155311822891,,,
0.02047581598162651,25,11257,0.13900409638881683,0.08760330080986023,,,,,,
,25,11257,,,0.014561453834176064,0.11848928779363632,0.08018603920936584,,,
0.0220330860465765,26,11690,0.14498941600322723,0.09244915843009949,,,,,,
,26,11690,,,0.014332905411720276,0.1175936833024025,0.07913058251142502,,,
0.020235316827893257,27,12123,0.13845613598823547,0.08624248206615448,,,,,,
,27,12123,,,0.016654087230563164,0.12674997746944427,0.08567647635936737,,,
0.020753761753439903,28,12556,0.13966797292232513,0.0886383056640625,,,,,,
,28,12556,,,0.014443092048168182,0.11779051274061203,0.08027497678995132,,,
0.016666412353515625,29,12989,0.1252603828907013,0.07710082828998566,,,,,,
,29,12989,,,0.013242200016975403,0.11276869475841522,0.0759916603565216,,,
0.018917299807071686,30,13422,0.1331263929605484,0.08187686651945114,,,,,,
,30,13422,,,0.011877237819135189,0.10712679475545883,0.07235091924667358,,,
0.016625499352812767,31,13855,0.12541519105434418,0.0774652361869812,,,,,,
,31,13855,,,0.012934930622577667,0.11165130138397217,0.07521819323301315,,,
0.033243577927351,32,14288,0.16566018760204315,0.102436862885952,,,,,,
,32,14288,,,0.015009635128080845,0.11884332448244095,0.08134014159440994,,,
0.029467333108186722,33,14721,0.15453168749809265,0.09342917799949646,,,,,,
,33,14721,,,0.01625848561525345,0.12290561199188232,0.08292718976736069,,,
0.02003185637295246,34,15154,0.13220280408859253,0.07773137837648392,,,,,,
,34,15154,,,0.014279929921030998,0.11593279987573624,0.07756277918815613,,,
0.023125072941184044,35,15587,0.14706800878047943,0.08889966458082199,,,,,,
,35,15587,,,0.01443793810904026,0.11536107212305069,0.07743871212005615,,,
