step,val_MAE,epoch,val_RMSE,val_Total_Loss,train_Total_Loss,train_RMSE,train_MAE,test_MAE,test_Total_Loss,test_RMSE
432,0.5233067274093628,0,0.7074679136276245,0.5026257634162903,,,,,,
432,,0,,,0.8045224547386169,0.8710393309593201,0.683619499206543,,,
865,0.42009979486465454,1,0.571991503238678,0.3293153643608093,,,,,,
865,,1,,,0.4127275049686432,0.6391245126724243,0.47548648715019226,,,
1298,0.36310097575187683,2,0.48490458726882935,0.2371901124715805,,,,,,
1298,,2,,,0.273754745721817,0.5198189616203308,0.37689587473869324,,,
1731,0.2615009546279907,3,0.3783995807170868,0.1463562250137329,,,,,,
1731,,3,,,0.17529655992984772,0.41418227553367615,0.2939748466014862,,,
2164,0.2284339964389801,4,0.3436061143875122,0.12190725654363632,,,,,,
2164,,4,,,0.12275078892707825,0.34620463848114014,0.2386123538017273,,,
2597,0.20213182270526886,5,0.311870813369751,0.10151935368776321,,,,,,
2597,,5,,,0.10192424803972244,0.3149930238723755,0.2127237319946289,,,
3030,0.2018430531024933,6,0.3077126145362854,0.098653145134449,,,,,,
3030,,6,,,0.09295137226581573,0.3011748790740967,0.20209845900535583,,,
3463,0.1876065880060196,7,0.2927786111831665,0.09004049748182297,,,,,,
3463,,7,,,0.08634818345308304,0.2895972430706024,0.1933630257844925,,,
3896,0.18925054371356964,8,0.29007962346076965,0.08870881050825119,,,,,,
3896,,8,,,0.07978525012731552,0.2784423530101776,0.18589164316654205,,,
4329,0.1894284188747406,9,0.2859589159488678,0.08610198646783829,,,,,,
4329,,9,,,0.07662618160247803,0.2727316915988922,0.18128319084644318,,,
4762,0.1711747795343399,10,0.2652686834335327,0.07512155175209045,,,,,,
4762,,10,,,0.06986986100673676,0.2602007985115051,0.17354513704776764,,,
5195,0.1708468496799469,11,0.25702664256095886,0.07046164572238922,,,,,,
5195,,11,,,0.06431074440479279,0.24936619400978088,0.16541126370429993,,,
5628,0.16571877896785736,12,0.2556358277797699,0.0701146051287651,,,,,,
5628,,12,,,0.06135857477784157,0.24344751238822937,0.16235293447971344,,,
6061,0.15879353880882263,13,0.24396871030330658,0.06445403397083282,,,,,,
6061,,13,,,0.05631130188703537,0.2331271916627884,0.1561177521944046,,,
6494,0.17645390331745148,14,0.26639261841773987,0.07546313107013702,,,,,,
6494,,14,,,0.05206945538520813,0.2241893708705902,0.14880964159965515,,,
6927,0.15694376826286316,15,0.2411276400089264,0.06292545795440674,,,,,,
6927,,15,,,0.04973611608147621,0.21865470707416534,0.14606134593486786,,,
7360,0.1495235413312912,16,0.22294428944587708,0.054004088044166565,,,,,,
7360,,16,,,0.04632975906133652,0.2106780707836151,0.1402847319841385,,,
7793,0.13789764046669006,17,0.22106140851974487,0.052991028875112534,,,,,,
7793,,17,,,0.04517519846558571,0.20845068991184235,0.13916604220867157,,,
8226,0.13469047844409943,18,0.2103670835494995,0.047661032527685165,,,,,,
8226,,18,,,0.043022945523262024,0.20352917909622192,0.13612410426139832,,,
8659,0.13648535311222076,19,0.21441321074962616,0.04920390993356705,,,,,,
8659,,19,,,0.04165066406130791,0.20017924904823303,0.1334543079137802,,,
9092,0.14229373633861542,20,0.21128898859024048,0.04798021912574768,,,,,,
9092,,20,,,0.04041794687509537,0.19736969470977783,0.1315838247537613,,,
9525,0.1308063417673111,21,0.20881229639053345,0.04712235555052757,,,,,,
9525,,21,,,0.039603982120752335,0.19535988569259644,0.13068130612373352,,,
9958,0.15336337685585022,22,0.23409929871559143,0.05944037064909935,,,,,,
9958,,22,,,0.037867676466703415,0.19105836749076843,0.12767687439918518,,,
10391,0.12513893842697144,23,0.20077599585056305,0.043185003101825714,,,,,,
10391,,23,,,0.03699871525168419,0.18892967700958252,0.12538385391235352,,,
10824,0.12834040820598602,24,0.2002912014722824,0.04230762645602226,,,,,,
10824,,24,,,0.03548509627580643,0.18509338796138763,0.12415308505296707,,,
