element
He
Ne
Ar
At
Rn
Fr
Kr
Xe
Pm
Cs
Rb
K
Na
Li
Ra
Ba
Sr
Ca
Eu
Yb
Lu
Tm
Y
Er
Ho
Dy
Tb
Gd
Sm
Nd
Pr
Ce
La
Ac
Am
Pu
Np
U
Th
Pa
Sc
Zr
Hf
Ti
Nb
Ta
V
Cr
Mo
W
Re
Tc
Os
Ru
Ir
Rh
Pt
Pd
Au
Ag
Cu
Ni
Co
Fe
Mn
Mg
Zn
Cd
Hg
Be
Al
Ga
In
Tl
Pb
Sn
Ge
Si
B
C
N
P
As
Sb
Bi
Po
Te
Se
S
O
I
Br
Cl
F
H
